,t_tdoa,idA,idB,tdoa_meas,t_acc,acc_x,acc_y,acc_z,t_gyro,gyro_x,gyro_y,gyro_z,t_tof,tof,t_flow,deltaX,deltaY,t_baro,baro,t_pose,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
t_tdoa,1.0,0.006232568819014477,0.0032686826912025416,-0.007118892350151795,0.9999955362492529,-0.5660624982630276,0.037965988867097844,-0.11877430497427409,0.9999955400843569,-0.019997401984785553,-0.047546168736137755,-0.35381380496947196,0.9999955237601874,0.05020824730567386,0.9992575467891829,-0.06018900237446218,-0.22962722413567413,0.9999955450530736,0.27210283432489196,0.9999416716568427,-0.8284830793497753,-0.8834432593184895,0.7535737678975689,-0.06168387946490603,0.018499651367487487,-0.48505832315664005,0.6125834998302674
idA,0.006232568819014477,1.0,0.3348510747454487,0.14559214763363595,0.0062271152126002205,-0.0023673978820026257,-0.0014344793316385335,-0.0016082184364502989,0.00622703048025229,0.0035212394235523098,0.0017899414327087499,4.3827839831030876e-05,0.006227689784133793,0.004942682194235706,0.006061261561567628,-0.02304105658162762,-0.012124311362324804,0.006227013776412368,0.005633893409021325,0.006216721395339116,-0.003677582638179074,-0.004087438715804096,0.006483962628921972,-0.006429954753164165,0.000734260269904966,-0.006346820520699088,0.005718896958074083
idB,0.0032686826912025416,0.3348510747454487,1.0,0.04140710543192831,0.0032695212947248856,-0.00013684283774926254,-0.004020576174296954,-0.0015177369719843396,0.003269454828875396,0.0005927424349104203,0.0010092949879778805,0.0017943728007330732,0.00327050253759559,0.0007803035320753202,0.0031914646422218627,-0.017489101948038863,-0.004262730661411493,0.0032694379912787254,0.004574382926731504,0.0032772228325124828,-0.002751496742841757,-0.0018718177470569346,0.0028403906842629965,-0.0006168240384517889,0.001530357537870444,-0.003196983590939132,0.00010565579356564873
tdoa_meas,-0.007118892350151795,0.14559214763363595,0.04140710543192831,1.0,-0.007117129844565921,0.001973090451502304,-0.004610504730293082,0.0009087280311780047,-0.0071171531327575,0.0007340003480044512,0.0008532784736024428,0.000707327268373277,-0.007117499500673426,-0.0033206072918318705,-0.006977230985458154,-0.019196268911543725,0.0054831516491260085,-0.007117412595976719,-0.005137353769114169,-0.007098180028606972,0.0048147793278742355,0.004270503448351751,-0.006996726993527948,-0.007138554869538315,-0.006294908586556029,0.005547810482353439,-0.006349630504719341
t_acc,0.9999955362492529,0.0062271152126002205,0.0032695212947248856,-0.007117129844565921,1.0,-0.5666595302914305,0.038197581676978974,-0.11807585687984921,0.9999999999683256,-0.019129496885772014,-0.046490109365856444,-0.352832957165635,0.9999999897680999,0.04891329286058019,0.9993289101827935,-0.060165132564037535,-0.22952470856356746,0.9999999997039917,0.27099274983634536,0.9999663343454867,-0.8299915357831946,-0.8842937006246799,0.7521821002282103,-0.062494035904265964,0.01755967605378116,-0.483730355839778,0.6117173883924466
acc_x,-0.5660624982630276,-0.0023673978820026257,-0.00013684283774926254,0.001973090451502304,-0.5666595302914305,1.0,-0.0074857936855672194,0.16757207775618108,-0.5666589336632806,0.1629761108404167,0.16743219622093125,0.230933012240762,-0.5666425179851086,0.012920505806432836,-0.5777368698987678,-0.041880183543899746,0.22189844965834504,-0.5666579214161453,-0.06440088986453038,-0.5690072453560241,0.6139468392797467,0.670126650837984,-0.22426658313929754,0.2054114672492403,0.10862147149819636,0.10316859465237803,-0.28367003491345777
acc_y,0.037965988867097844,-0.0014344793316385335,-0.004020576174296954,-0.004610504730293082,0.038197581676978974,-0.0074857936855672194,1.0,0.15495748393760286,0.038197550862452974,0.1826932973772832,0.15663828619881928,-0.08913843367381069,0.03820734060960676,-0.03886766013975025,0.038665578816141126,-0.0034230632410463314,0.0015124995192902998,0.038197282409687144,0.002677119802152045,0.03854657830951784,-0.06104402040057511,-0.04048623032210198,0.01088661654639783,-0.007764967396180671,0.054877647532863214,0.021014230579504658,0.014706825123665137
acc_z,-0.11877430497427409,-0.0016082184364502989,-0.0015177369719843396,0.0009087280311780047,-0.11807585687984921,0.16757207775618108,0.15495748393760286,1.0,-0.1180752626187027,0.6491696862103281,0.8178581280526072,0.1340755879651616,-0.1180162325515115,-0.23242929477902344,-0.12171351985822164,-0.08366017872366197,0.13236088430496365,-0.11807504510274319,-0.0775739866304426,-0.11570586038725342,0.02838904222510534,0.16721714915695252,-0.06764671482920659,0.10494604704265155,0.015480221775637766,0.09291247922645958,-0.0744066893732228
t_gyro,0.9999955400843569,0.00622703048025229,0.003269454828875396,-0.0071171531327575,0.9999999999683256,-0.5666589336632806,0.038197550862452974,-0.1180752626187027,1.0,-0.01912913256933631,-0.046489658050254255,-0.35283285934952985,0.9999999898895129,0.04891375579962792,0.999328848656233,-0.06016541324762582,-0.22952460908311992,0.9999999997323954,0.27099321937777726,0.999966323668719,-0.8299906584796519,-0.8842929140347773,0.7521831884096346,-0.06249324894360667,0.0175603022696984,-0.4837311486817742,0.6117177977076966
gyro_x,-0.019997401984785553,0.0035212394235523098,0.0005927424349104203,0.0007340003480044512,-0.019129496885772014,0.1629761108404167,0.1826932973772832,0.6491696862103281,-0.01912913256933631,1.0,0.916931423656396,0.17061511292486356,-0.01908359591471847,-0.38808319582964856,-0.01944119457009856,-0.09237530375794452,0.1558553099212545,-0.019128604280512704,-0.14917305805269712,-0.01824991345455641,-0.09777918077470553,0.07573311530643585,-0.024698413161465396,0.00027631308903649474,0.04237249303423634,0.083181906512401,-0.025351627421353513
gyro_y,-0.047546168736137755,0.0017899414327087499,0.0010092949879778805,0.0008532784736024428,-0.046490109365856444,0.16743219622093125,0.15663828619881928,0.8178581280526072,-0.046489658050254255,0.916931423656396,1.0,0.22881232005889185,-0.04643200206771822,-0.38704474746631307,-0.04764771634784568,-0.1056697400246426,0.17847279460032572,-0.046489213643886494,-0.13668561695064016,-0.04462149964225583,-0.09771885961230714,0.10289222571832492,-0.05023501522483412,0.04272034332104512,0.029009317347369057,0.09362561843233189,-0.042772042050814946
gyro_z,-0.35381380496947196,4.3827839831030876e-05,0.0017943728007330732,0.000707327268373277,-0.352832957165635,0.230933012240762,-0.08913843367381069,0.1340755879651616,-0.35283285934952985,0.17061511292486356,0.22881232005889185,1.0,-0.3527832917893607,-0.02657536023482079,-0.3581278023456943,-0.08868021369836822,0.3015363233070708,-0.35283195288626196,0.02428750650576352,-0.3507349747875393,0.1531637839118239,0.38930604673306096,-0.252763321771438,0.0416367785282713,0.09061271987783999,0.08817501037546575,-0.25854556242533094
t_tof,0.9999955237601874,0.006227689784133793,0.00327050253759559,-0.007117499500673426,0.9999999897680999,-0.5666425179851086,0.03820734060960676,-0.1180162325515115,0.9999999898895129,-0.01908359591471847,-0.04643200206771822,-0.3527832917893607,1.0,0.048947960256975225,0.9993267153173389,-0.0601715970632307,-0.22950186473455725,0.9999999902902488,0.2710301916865528,0.9999663764240823,-0.8299864448784932,-0.8842674873980573,0.7521915801740248,-0.062461909984194715,0.017617076241954986,-0.4838004355437942,0.611721725028078
tof,0.05020824730567386,0.004942682194235706,0.0007803035320753202,-0.0033206072918318705,0.04891329286058019,0.012920505806432836,-0.03886766013975025,-0.23242929477902344,0.04891375579962792,-0.38808319582964856,-0.38704474746631307,-0.02657536023482079,0.048947960256975225,1.0,0.03391017533953417,-0.00741477839183249,-0.04421881108592689,0.048913600659887674,0.4446232786002905,0.0459324620054878,0.20210808711224837,0.08904209280395317,0.20656490043010356,0.11071789241132418,0.2806088869120676,-0.44144427968028715,0.05946432790012572
t_flow,0.9992575467891829,0.006061261561567628,0.0031914646422218627,-0.006977230985458154,0.9993289101827935,-0.5777368698987678,0.038665578816141126,-0.12171351985822164,0.999328848656233,-0.01944119457009856,-0.04764771634784568,-0.3581278023456943,0.9993267153173389,0.03391017533953417,1.0,-0.05296878074228914,-0.23449771310938727,0.9993287629277268,0.2494604127176638,0.9994982719648259,-0.845684011412262,-0.899494733795596,0.7320178189092581,-0.0805507669696301,0.003005954999438741,-0.4620022927876593,0.6086433472883648
deltaX,-0.06018900237446218,-0.02304105658162762,-0.017489101948038863,-0.019196268911543725,-0.060165132564037535,-0.041880183543899746,-0.0034230632410463314,-0.08366017872366197,-0.06016541324762582,-0.09237530375794452,-0.1056697400246426,-0.08868021369836822,-0.0601715970632307,-0.00741477839183249,-0.05296878074228914,1.0,-0.16092894988700923,-0.06016636915871449,-0.046354890570129696,-0.05944589975227933,-0.004503214145927587,-0.044656588095240805,-0.2088411538884082,-0.1352527829842186,0.013546490051358285,0.01003845139827409,0.06247407488138565
deltaY,-0.22962722413567413,-0.012124311362324804,-0.004262730661411493,0.0054831516491260085,-0.22952470856356746,0.22189844965834504,0.0015124995192902998,0.13236088430496365,-0.22952460908311992,0.1558553099212545,0.17847279460032572,0.3015363233070708,-0.22950186473455725,-0.04421881108592689,-0.23449771310938727,-0.16092894988700923,1.0,-0.2295234645451562,0.11133713033434398,-0.229474967007257,0.17423362216853408,0.30489399249137505,-0.06138595337414433,0.033553747708236256,0.09080830129649417,-0.008513466719114007,-0.07646062153563327
